"Commit SHA","Java File","Old function signature","New function signature"
"eb3aefc9e8b5f0317f2a5804ff36775c17e18c17","RxJavaInterop.java","toV1Observable( org . reactivestreams . Publisher<T> source)","toV1Observable( io . reactivex . ObservableSource<T> source , io . reactivex . BackpressureStrategy strategy)"
"eb3aefc9e8b5f0317f2a5804ff36775c17e18c17","RxJavaInteropTest.java","test1( rx . Observable<T> s)","test1( rx . Observable<T> s , long initialRequest)"
"b79f72a81cb107ddf78918211ed69d6a2369d149","RxJavaInteropTest.java","test1( rx . Observable<T> s)","test1( rx . Observable<T> s , long initialRequest)"
"806f5868f0596a90690be2e124927bd78c44571c","RxJavaInterop.java","toV1Observable( org . reactivestreams . Publisher<T> source)","toV1Observable( io . reactivex . ObservableSource<T> source , io . reactivex . BackpressureStrategy strategy)"
"04c17b0f51993b26c5fa3f4e8ac06c82be55b759","RxJavaInteropTest.java","test1( rx . Observable<T> s)","test1( rx . Observable<T> s , long initialRequest)"
"87a853c0d03d665b7219abec3829318b434d4fd9","RxJavaInterop.java","toV1Observable( org . reactivestreams . Publisher<T> source)","toV1Observable( io . reactivex . ObservableSource<T> source , io . reactivex . BackpressureStrategy strategy)"
"87a853c0d03d665b7219abec3829318b434d4fd9","RxJavaInteropTest.java","test1( rx . Observable<T> s)","test1( rx . Observable<T> s , long initialRequest)"
"ae8242479631655d095cdf7e77def54d5781c042","RxJavaInterop.java","toV1Observable( org . reactivestreams . Publisher<T> source)","toV1Observable( io . reactivex . ObservableSource<T> source , io . reactivex . BackpressureStrategy strategy)"
"ae8242479631655d095cdf7e77def54d5781c042","RxJavaInteropTest.java","test1( rx . Observable<T> s)","test1( rx . Observable<T> s , long initialRequest)"
"e99037ee392e926fe40a134a982d68e376964dc0","RxJavaInteropTest.java","test1( rx . Observable<T> s)","test1( rx . Observable<T> s , long initialRequest)"
"098f9f6462b4e366687694bd40029a986dada9da","RxJavaInterop.java","toV1Observable( org . reactivestreams . Publisher<T> source)","toV1Observable( io . reactivex . ObservableSource<T> source , io . reactivex . BackpressureStrategy strategy)"
"098f9f6462b4e366687694bd40029a986dada9da","RxJavaInteropTest.java","test1( rx . Observable<T> s)","test1( rx . Observable<T> s , long initialRequest)"
"5f83b652d7296b22ea1b14973e4e60b168d764d7","RxJavaInterop.java","toV1Observable( org . reactivestreams . Publisher<T> source)","toV1Observable( io . reactivex . ObservableSource<T> source , io . reactivex . BackpressureStrategy strategy)"
"5f83b652d7296b22ea1b14973e4e60b168d764d7","RxJavaInteropTest.java","test1( rx . Observable<T> s)","test1( rx . Observable<T> s , long initialRequest)"
